Student_ID,Age,Gender,University_Year,Major,Attendance_Percentage,Study_Hours_Per_Week,CGPA,Academic_Performance,Programming_Skill,Projects_Completed,Certifications,Hackathons,GitHub_Profile,Internships,Leadership_Experience,LinkedIn_Profile,Resume_Score,Communication_Skills,Teamwork,Problem_Solving,English_Proficiency,Interview_Score,Employability_Score,Placement_Status,Company_Tier,Career_Field,Placement_Mode,Starting_Salary_USD
ST000001,22,Male,Sophomore,Computer Science,86,21,3.28,Good,9,10,1,6,Yes,5,No,No,100,9,7,8,Advanced,72,231.7,Placed,Tier 1,Backend Developer,Campus Placement,72082
ST000002,20,Female,Freshman,Computer Science,64,18,2.53,Poor,6,6,0,5,Yes,2,No,Yes,80,5,6,5,Basic,59,157.45,Not Placed,No Company,Not Placed,Not Applicable,0
ST000003,23,Male,Senior,Information Technology,75,19,2.83,Average,8,9,0,5,Yes,3,Yes,No,100,7,8,7,Advanced,76,203.45,Placed,Tier 1,IT Support Engineer,Campus Placement,94898
ST000004,23,Female,Senior,Information Technology,80,19,2.8,Average,5,6,3,3,No,2,No,Yes,85,6,6,6,Intermediate,67,171.5,Not Placed,No Company,Not Placed,Not Applicable,0
ST000005,23,Female,Senior,Software Engineering,73,19,2.93,Average,9,10,1,2,Yes,3,Yes,Yes,100,10,8,9,Advanced,82,225.45,Placed,Tier 1,Software Engineer,Internship Conversion,85256
ST000006,21,Male,Senior,Computer Science,85,32,3.41,Good,9,5,3,4,Yes,3,No,Yes,98,5,6,9,Intermediate,72,210.05,Placed,Tier 1,Software Engineer,Off-Campus,109920
ST000007,21,Male,Junior,Artificial Intelligence,73,18,3.0,Average,8,8,2,4,Yes,5,No,Yes,100,8,6,6,Advanced,81,219.5,Placed,Tier 1,AI Engineer,Internship Conversion,85010
ST000008,23,Male,Freshman,Business Analytics,82,20,2.87,Average,4,5,0,1,No,3,No,Yes,86,7,6,4,Intermediate,57,160.35,Not Placed,No Company,Not Placed,Not Applicable,0
ST000009,23,Female,Freshman,Computer Science,82,39,3.48,Good,8,9,0,5,Yes,5,Yes,No,100,10,10,7,Advanced,100,241.2,Placed,Tier 1,Full Stack Developer,Campus Placement,96175
ST000010,30,Male,Junior,Information Technology,72,18,2.85,Average,5,3,1,0,No,3,Yes,Yes,78,10,6,5,Advanced,56,166.65,Not Placed,No Company,Not Placed,Not Applicable,0
ST000011,21,Male,Junior,Data Science,84,31,3.13,Average,7,9,3,1,Yes,3,No,No,100,7,6,8,Intermediate,77,210.95,Placed,Tier 1,Data Scientist,Referral,105190
ST000012,22,Male,Sophomore,Computer Science,84,16,3.32,Good,8,7,3,2,Yes,5,No,No,100,8,7,9,Advanced,100,239.3,Not Placed,No Company,Not Placed,Not Applicable,0
ST000013,22,Female,Freshman,Software Engineering,79,16,2.8,Average,7,8,2,3,Yes,4,No,Yes,100,9,6,9,Advanced,76,213.0,Placed,Tier 1,Software Engineer,Internship Conversion,105348
ST000014,24,Female,Junior,Data Science,71,25,2.94,Average,8,10,1,2,Yes,3,Yes,No,100,10,8,6,Advanced,82,215.6,Not Placed,No Company,Not Placed,Not Applicable,0
ST000015,20,Male,Junior,Computer Science,73,23,2.98,Average,6,8,2,4,Yes,5,No,No,96,8,7,7,Advanced,100,221.5,Placed,Tier 1,Software Engineer,Off-Campus,78414
